date,tweet_id,tweet,username,replies_score,retweet_score,likes_score,quotes_score
2023-01-31 23:59:38+00:00,1620572548470644737,"RAND Corporation is a top notch US foreign policy think tank. Are we about to see a US Volte-face in the Ukraine war?
Avoiding a Long War: U.S. Policy and the Trajectory of the Russia-Ukraine Conflict | RAND https://t.co/l7pRaQlSrQ",Aliyujari,1,3,2,0
2023-01-31 23:58:47+00:00,1620572330836779008,#ExxonMobil made record profits thanks to #UkraineWar. Some are cashing on a devastating conflict.,irichani,0,1,0,0
2023-01-30 23:59:58+00:00,1620210242360586240,Pepe Escobar: Ukraine War is Desperate Bid by US to Preserve Hegemony an... https://t.co/nG1T7zimdg via @YouTube,TraceMoneyFlow,0,0,1,0
2023-01-30 23:57:55+00:00,1620209726578626565,"Wait, so there ARE biomass in Ukraine?
If Zelensky really did order documents burned that involved the Bidens that tells me Biden is funding the Ukraine war to protect his family.",Robsbad1,0,0,0,0
2023-01-29 23:59:27+00:00,1619847723947102210,"Fashion tycoon Paul Smith fails to explain company's presence in Russia during Ukraine war 
https://t.co/QSvfh71tLj",NewsfeedsMedia,0,0,0,0
2023-01-29 23:59:16+00:00,1619847679575756800,"Ukraine War Live : Russia Fires Over 120 Missiles On Ukraine From Air, Sea In Massive Attack
 #Canada #Germany #America #Ukraine #Bakhmut
 https://t.co/KlEqYmXwSk",Hi45733134,0,0,0,0
2023-01-28 23:59:32+00:00,1619485357732696064,"The Ukraine war is benefiting natural gas suppliers in the US! We're benefiting from Europe's gas shortage. Europeans face high energy prices and a weak economy. Big gas is richer, though. #warprofiteers #gasgreed",Boca_Wes,3,1,2,0
2023-01-28 23:58:47+00:00,1619485170633170946,"Ukraine War: Russian troops hit by artillery during intense room-to-room fighting in Soledar
#Ukraine #Bakhmut #Donbas #UkraineRussiaWar #
https://t.co/P2z5y9zw8O",david_n919,0,0,0,0
2023-01-27 23:59:09+00:00,1619122874203385856,You’re aggregating four different examples. Chechnya&amp;Syria- Russia helped decent people resist Islamist terrorism. Georgia&amp;Ukraine - Russia helped decent people resist US-assisted extreme nationalism. Chechen RF units led by Kadyrov  are in forefront in Ukraine war. @tonykevin,tonykevin,246,10,93,6
2023-01-27 23:58:43+00:00,1619122764069093385,Chinese Ambassador Reveals China's Position in Russia Ukraine War https://t.co/RoWJ1pieQ8 via @YouTube,qmyz,0,0,1,0
2023-01-26 23:59:58+00:00,1618760692991160322,"🇵🇱🇺🇦⚡️Poland had already transferred several MiG-29s to Ukraine under the guise of spare parts during the first few months of the COVID-19 pandemic, according to Dziennik Gazeta Prawna.
1/4
#polska #poland #ukrainewar #ukraine #nato #russia https://t.co/3mBBaJVLRz",hem_day,1,3,3,0
2023-01-26 23:59:26+00:00,1618760558140080129,Russian–Ukraine war escalates threat to Israel's security  https://t.co/TKsR0Lq9cO #Israel #Jewish #Politics #UkraineRussia,JoshPNamm,0,0,0,0
2023-01-25 23:59:13+00:00,1618398114691579904,Zelenskyy's 45th Birthday Video 01 25 2023 https://t.co/7GGNM0JnsV via @YouTube #survival #prepping #ukraine #war #military,LucBoudreaux14,0,0,0,0
2023-01-25 23:59:08+00:00,1618398093162020865,"An Alternate Reality: How Russia’s State TV Spins the Ukraine War

#Fox #RT https://t.co/jo4IVe4pCA",itsrohitchouhan,0,0,0,0
2023-01-24 23:59:40+00:00,1618035840344530946,Symbolic Doomsday Clock moves closer to midnight amid Ukraine war | Nuclear Weapons News https://t.co/LDGpMbpIB7,RNewspost,0,0,0,0
2023-01-24 23:59:40+00:00,1618035839715643395,"Russia-Ukraine war: 16 people including Ukraine's Interior Minister killed in Kyiv chopper crash
#Canada #Germany #Bakhmut #Soledar #Ukraine
https://t.co/JQYgaXMDUU",HiHikeep4,0,0,0,0
