date,tweet_id,tweet,username,replies_score,retweet_score,likes_score,quotes_score
2023-04-08 17:18:39+00:00,1644751624273895431,"Kiss of the Year?
don't forget to check my music....
#thekompozitor #trump #putin #war #kiss #KissKiss #firstkiss #love #PutinIsaWarCriminal #PutinWarCriminal #LoveIsBlind #conspiracytheories #BANNED #UkraineWar #UkraineRussiaWar https://t.co/qh7IndPSi4",TheKompozitor,0,0,0,0
2023-04-08 17:18:09+00:00,1644751498595672064,"It's Himars o'clock! https://t.co/0s1cd5PRGU
#Ukraine #UkraineWar #NAFO #HIMARS https://t.co/0CPUTtAxfM",iljaandreev,0,0,0,0
2023-04-08 17:18:05+00:00,1644751481562603521,"⚡⚡⚡🚀🔥Commander of the Ground Forces Alexander Syrsky showed that #HIMARS launch missiles at #Russian occupiers.

#Ukraina #UkraineWar #Ukraine #UkraineWillWin #UkrainianArmy #ukrainecounteroffensive #UkraineFrontLines https://t.co/tIcQCCV24I",UkraineNewsLive,0,0,0,0
2023-04-08 17:17:08+00:00,1644751242890039304,Breaking - Pentagon dealing with security leak of Ukraine war plans https://t.co/7EcR7s6nIp,BudGothmog44,0,0,0,0
2023-04-08 17:16:58+00:00,1644751200871493635,The printing of this Voter ID cannot be underestimated by ECSL. The collection of your voter ID is the most paramount. You will soon hear the ECSL complaining about the Russia and Ukraine war. https://t.co/kBr2VUNnLq,LolayConteh,0,0,0,0
2023-04-07 23:59:31+00:00,1644490118089121792,"Ukraine War - Emergency Landing of Russian Ka-50 During Combat Against Ukrainian Forces
 #Canada #Germany #bryansk #Ukraine #Bakhmut
 https://t.co/tbSBhBydCm",david_n919,0,0,0,0
2023-04-07 23:58:28+00:00,1644489852757450756,"End of Ukraine WAR - Petrodollar - EU &amp; Russian Gas | Scott Ritter
#Russia #Ukraine #America #China #Trump https://t.co/h3ep4RL5HW",najy_221,0,0,0,0
2023-04-07 23:56:13+00:00,1644489284009820162,"Kherson. Panic flight of the Russian army🔥ukraine war video footage 2022
 #UkraineRussianWar #UkraineWillWin #Luhansk #Donetsk #Bakhmut
 https://t.co/vDeIVA8Hfe",Hi45733134,0,0,0,0
2023-04-07 23:55:21+00:00,1644489068967854081,#USA backed crackdown on #Orthodox Christians in #Ukraine. British Journalist Johnny Miller says people in Ukraine want peace and negotiations but #NATO wants war #UkraineRussiaWar #NATORUSSIAWAR #UkraineRussiaWar️ #Ukraine #Ukrainians #Russia #UkraineWar #Russians #Donbass https://t.co/hzWppxDy1U,KobaManitoba,1,1,0,0
2023-04-07 23:55:19+00:00,1644489059899699202,Ukraine war live updates: Secret Pentagon and NATO files leaked; Russia formally charges American reporter with espionage https://t.co/0AwKCqmwYZ,Fashion6001,0,0,0,0
