date,tweet_id,tweet,username,replies_score,retweet_score,likes_score,quotes_score
2023-03-12 23:59:52+00:00,1635068118002446340,Rainn Wilson calls out anti-Christian bias in Hollywood after ‘Last of Us’ episode: I knew he was a ‘villain’ https://t.co/woCFQnUkjc,bms_bmc,0,0,0,0
2023-03-12 23:59:43+00:00,1635068083248451584,"I've been watching The Last of Us for the first time this week and wow, this show is a rough one to binge. I feel like each episode needs a break to digest it. I'm really enjoying the show though.",Kat_Terrell,3,0,58,0
2023-03-12 23:58:02+00:00,1635067656763211776,"Got some wings, new episode of “Last of Us”, daylight saving activated, life is good 🫶🏼",edwin_ocana,0,0,3,0
2023-03-12 23:57:28+00:00,1635067516518273025,"Alright y'all, we're gonna do the final stream for the emblem tonight (drop ends tomorrow) after I watch the last episode of Last of Us with @ASadGoldfish and Eat Dinner. Let's have some fun and keep grinding tonight on the purple app 🫡 stay tuned for go live",DemShenanigans,0,1,5,0
2023-03-12 23:57:16+00:00,1635067466383769602,"Ah I knew that twist from the game was coming, but finished Last of Us episode 5 and welp... 😭",starpendle,0,0,0,0
2023-03-12 23:56:38+00:00,1635067304206823424,What am I supposed to do when the last of us ends TONIGHT? I need like a week to recover and then I’m ready for the next episode…. IM GONNA NEED MORE,bailey_shaffer_,0,0,1,0
2023-03-12 23:55:43+00:00,1635067075327848449,But I’m also not watching the Oscars after 10pm when I could be watching the last episode of The Last of Us,starncva,0,0,1,0
2023-03-12 23:54:04+00:00,1635066662113382400,Who is ready for the last episode of season 1 The Last Of Us?! 💀 https://t.co/NkyYBdc7mF,k__a__tt,3,0,3,0
2023-03-12 23:53:58+00:00,1635066636066537473,I've just watched episode S01 | E08 of The Last of Us! #lastofus  https://t.co/j3POt8vARb #tvtime https://t.co/jlElNZQcj0,chzastain,0,0,0,0
2023-03-12 23:53:28+00:00,1635066509033897985,I've just watched episode S01 | E08 of The Last of Us! #lastofus  https://t.co/j3POt8w8GJ #tvtime https://t.co/flFBbcZ9Um,chzastain,0,0,0,0
2023-03-12 23:51:27+00:00,1635065999933456384,Finally getting to episode 3 of The Last of Us and man I've never been as sad for a show,CJC_Swizzy,0,0,0,0
2023-03-12 23:51:06+00:00,1635065914369675265,Just watched the first episode of Last of Us. Wow,ColdSummerBear,0,0,0,0
2023-03-12 23:48:44+00:00,1635065315917959168,"We binged The Last of Us this weekend and I’m now mad we waited so long to start the show. It’s so very good! Although the last episode broke me, so well acted! Bella is fantastic",AmandaMtz13,0,0,1,0
2023-03-12 23:48:19+00:00,1635065212473872384,After hearing Pedro Pascals real voice I think that he should’ve played the lead in the gay episode of Last of Us #Oscars,CorbinLeMaster,0,0,0,0
2023-03-12 23:48:14+00:00,1635065191204536322,Not me in a shear panic for this last episode of the Last Of Us… it’s not even because I think it’ll be bad - I think it’s because I won’t know what to do with my Sunday nights anymore…,SJrox96,0,0,1,0
2023-03-12 23:47:30+00:00,1635065009192697856,Can't wait for Paul Mescal's performance tonight in the finale episode of the last of us!!!! https://t.co/9H41jZAyQG,blackwellninja_,0,0,0,0
2023-03-12 23:45:50+00:00,1635064588084592640,I need someone's HBO login for this Last of Us. Watched the 1st episode at a watch party and been STARVING ever since 😭😭,j0hnny_jeff,1,0,0,0
2023-03-12 23:44:33+00:00,1635064265118973952,i’m watching the last of us episode 3 to prep my sadness for the last of us finale,transedteach,0,0,1,0
2023-03-12 23:43:52+00:00,1635064093286744064,I was having a perfectly decent day.  Then BF reminded me that Last of Us is on tonight.  I was elated!!! Until he reminded me it's the last episode of the season!!! 😭 https://t.co/FSvN4K9BrM,ryan_goodell,0,0,3,0
2023-03-12 23:43:05+00:00,1635063897744109569,"The Last of Us episode 9 release date, time, channel, and plot https://t.co/aFjDaYFhFW https://t.co/ucuUC0Kbcw",sonuise,0,0,0,0
2023-03-12 23:39:58+00:00,1635063111098187776,"It's time for my Watch Party for The Last of Us HBO Season 1 Finale Episode 9 ""Look For The Light""

Join us: https://t.co/0qm1eIiQrd https://t.co/uAiou9ijkN",DomTheBombYT,4,6,119,0
2023-03-12 23:39:18+00:00,1635062943279874048,No episode of Nerds and Heresy tonight.  It’s the season finale of The Last of Us and I simply cannot wait until tomorrow morning to watch it.,Captain_DadPool,0,0,6,0
2023-03-12 23:38:08+00:00,1635062648818765824,on episode 2 of the last of us and i love the fact that all birds seem completely fine,eIdermckinIey,0,0,1,0
2023-03-12 23:36:45+00:00,1635062304047009792,episode 8 of the last of us had my sister &amp; i jumping and screaminggggg. i love u daddy pascal 🙏🏼🫶🏼,ihavesex2k69,2,1,0,0
2023-03-12 23:35:51+00:00,1635062077395021826,I've just watched episode S01 | E04 of The Last of Us! https://t.co/bWOSwFv3Oe #tvtime https://t.co/1UsYwq1iYk,AthenaLentz,0,0,0,0
2023-03-12 23:34:54+00:00,1635061836151394306,Last of Us finale already yikes I gotta catch up but episode 7 is brutal lol,black_irongiant,0,0,0,0
2023-03-12 23:33:55+00:00,1635061590289698816,I've just watched episode S01 | E05 of The Last of Us! https://t.co/1TixBzqFoh #tvtime https://t.co/VkauZNvuCR,alcamargos,0,0,0,0
2023-03-12 23:33:14+00:00,1635061415966035969,"STARS !! i MIGHT ( emphasis on might ) stream after i watch the last of us episode — but i’m leaning towards doing the next day so all you stars can have a chance to watch it :] 

if the stream is today , here are the times

2am EDT
11pm PDT
6am GMT

( 1 / 2 )",Nova__Live,1,0,0,0
2023-03-12 23:32:43+00:00,1635061288299823104,No cus the end of episode 5 of the Last Of Us didn’t need to do that to my emotions wtf,locacolocha,0,0,3,0
2023-03-12 23:31:02+00:00,1635060865086160897,"""all my episodes are good""
the last of us, literaly",Galcy6660,0,0,1,0
2023-03-12 23:30:36+00:00,1635060754515922945,Time for me to watch the new episode of The Last of Us while the sun is still up &lt;3,VClowater,0,0,0,0
2023-03-12 23:27:53+00:00,1635060071330889730,I’m watching the 1st episode of The Last of Us and fuckkkk I’m so stressed.,Nayemajr,0,0,0,0
2023-03-12 23:27:22+00:00,1635059939134803969,Last of Us — last episode today 😪😪,mattmorg_,1,0,0,0
2023-03-12 23:26:30+00:00,1635059722813599747,"Rainn Wilson calls out anti-Christian bias in Hollywood after 'Last of Us' episode: I knew he was a 'villain'
https://t.co/cvr2t6hNUK",EnglishJaun,0,0,0,0
2023-03-12 23:26:10+00:00,1635059638717784067,Rainn Wilson calls out anti-Christian bias in Hollywood after 'Last of Us' episode: I knew he was a 'villain' =&gt; https://t.co/rpqaTS0Req,jahangi34070804,0,0,0,0
2023-03-12 23:25:45+00:00,1635059535202377728,how come we’re getting the new last of us episode an hour later than those with hbo? @NOW,zatannasgf_,0,0,0,0
